Date,NVDA,MSFT,AAPL,GOOGL,META,TSLA,AVGO,ORCL,WMT,COST,PG,KO,JPM,V,MA,BRK-B,LLY,JNJ,UNH,ABBV
2021-08-04,20.228755950927734,276.18719482421875,143.5059051513672,134.19992065429688,356.7209777832031,236.97332763671875,44.6573371887207,84.99231719970703,44.93791198730469,414.09515380859375,128.0487518310547,49.03396224975586,135.3502197265625,228.92803955078125,359.0370788574219,278.7799987792969,251.22393798828125,152.28733825683594,393.98907470703125,98.05039978027344
2021-08-05,20.5909481048584,279.0887756347656,143.6133575439453,135.3181915283203,360.7460632324219,238.2100067138672,44.64544677734375,84.40714263916016,45.7716064453125,421.8527526855469,128.11167907714844,49.383575439453125,137.05953979492188,232.35227966308594,362.87127685546875,280.2099914550781,252.8702392578125,152.57720947265625,384.3155822753906,98.08448028564453
2021-08-06,20.3205509185791,279.0308837890625,142.9287109375,134.80870056152344,361.2828369140625,233.03334045410156,44.440372467041016,84.4920883178711,45.6898078918457,418.4642028808594,127.13175201416016,49.50594711303711,140.95249938964844,233.50332641601562,365.3981018066406,285.6300048828125,252.15240478515625,152.06765747070312,387.98858642578125,97.51364135742188
2021-08-09,20.249713897705078,277.9415283203125,142.87979125976562,135.9751739501953,359.3943786621094,237.9199981689453,44.371707916259766,84.85076141357422,45.79991912841797,419.2637023925781,127.82398223876953,49.514686584472656,140.80038452148438,232.14913940429688,361.6419677734375,287.2300109863281,255.71292114257812,152.5947723388672,384.0164489746094,97.18134307861328
2021-08-10,19.891517639160156,276.1197204589844,142.40060424804688,135.86990356445312,358.91741943359375,236.663330078125,44.15016555786133,84.6053466796875,46.77518844604492,421.7004089355469,127.90492248535156,49.64579391479492,142.52760314941406,230.2822723388672,358.8711853027344,288.94000244140625,257.9048767089844,152.6475067138672,384.86700439453125,97.8288803100586
2021-08-11,19.655038833618164,276.6112976074219,142.65489196777344,135.34552001953125,357.7545471191406,235.94000244140625,44.26826477050781,84.59591674804688,47.193607330322266,422.90924072265625,128.2196044921875,49.58461380004883,144.22793579101562,227.3707275390625,355.3590087890625,291.2799987792969,252.7841033935547,152.673828125,381.09100341796875,96.89167022705078
2021-08-12,19.86058235168457,279.3682556152344,145.61831665039062,136.25424194335938,360.42803955078125,240.75,44.333255767822266,84.76578521728516,47.06730651855469,423.91815185546875,128.51626586914062,49.680747985839844,144.79176330566406,224.51333618164062,353.1541442871094,290.239990234375,252.99534606933594,153.90365600585938,379.4273986816406,98.52754974365234
2021-08-13,20.1429500579834,282.29876708984375,145.82369995117188,136.78408813476562,360.954833984375,239.05667114257812,44.50720977783203,85.30378723144531,47.21571350097656,426.259765625,129.13656616210938,50.021636962890625,143.17193603515625,225.34632873535156,353.90533447265625,287.8900146484375,253.70594787597656,154.82603454589844,382.8948669433594,99.24322509765625
2021-08-16,19.90548324584961,283.9857177734375,147.7992706298828,137.3621063232422,364.3140869140625,228.72332763671875,44.68846893310547,85.71906280517578,47.60093688964844,431.0571594238281,130.03561401367188,50.24014663696289,142.23226928710938,227.97128295898438,354.6955261230469,289.45001220703125,259.2080993652344,156.2227325439453,389.942138671875,100.88763427734375
2021-08-17,19.414579391479492,282.52044677734375,146.8897247314453,135.7253875732422,356.2538146972656,221.90333557128906,43.823341369628906,85.8417739868164,47.58515167236328,430.5621643066406,130.2513885498047,50.065338134765625,140.51394653320312,227.1673126220703,354.37359619140625,289.1000061035156,261.8679504394531,157.6546173095703,394.2134094238281,101.9526596069336
2021-08-18,18.997509002685547,280.7917175292969,143.14389038085938,134.52120971679688,353.2721862792969,229.663330078125,42.93348693847656,83.9446792602539,47.07993698120117,424.7273254394531,128.83090209960938,49.383575439453125,139.2342071533203,224.35836791992188,352.1492004394531,286.3599853515625,257.84454345703125,155.65176391601562,390.0448913574219,99.9333724975586
2021-08-19,19.75381851196289,286.6251525878906,143.47642517089844,134.75059509277344,352.9442138671875,224.49000549316406,43.350948333740234,83.72758483886719,47.39885330200195,432.3897705078125,130.3502655029297,49.69823455810547,138.07080078125,224.3002471923828,348.5979309082031,285.1300048828125,259.6498107910156,156.86402893066406,399.924072265625,100.47865295410156
2021-08-20,20.76955223083496,293.95574951171875,144.93368530273438,136.48814392089844,357.1681823730469,226.75332641601562,43.5010871887207,83.9446792602539,47.82197570800781,436.8919982910156,130.44020080566406,49.50594711303711,138.46456909179688,224.09683227539062,346.3345031738281,285.2699890136719,260.1395568847656,157.6282501220703,401.6250915527344,101.23695373535156
2021-08-23,21.908998489379883,294.2358703613281,146.42030334472656,139.08224487304688,361.123779296875,235.43333435058594,44.16755676269531,84.11455535888672,47.506221771240234,433.0274963378906,129.77490234375,49.33113479614258,140.23655700683594,226.78956604003906,352.2077331542969,285.6199951171875,257.1723937988281,156.94784545898438,397.5594482421875,101.69705963134766
2021-08-24,21.744365692138672,292.275146484375,146.33224487304688,140.29388427734375,363.27056884765625,236.163330078125,44.07418441772461,83.57656860351562,47.016780853271484,430.0386657714844,128.7230224609375,48.955299377441406,141.1046600341797,226.88638305664062,352.958984375,286.0199890136719,252.3231964111328,154.98609924316406,395.73687744140625,101.96969604492188
2021-08-25,22.163429260253906,291.6861267089844,145.09991455078125,141.1057891845703,366.1329040527344,237.06666564941406,44.25544357299805,83.64263916015625,47.03573226928711,429.5055847167969,128.26455688476562,49.00773620605469,144.01319885253906,225.28823852539062,350.3443298339844,287.29998779296875,253.37950134277344,153.96104431152344,392.30670166015625,102.5831527709961
2021-08-26,22.018754959106445,288.8658752441406,144.29798889160156,140.47166442871094,362.1474609375,233.72000122070312,44.46875,83.73700714111328,46.5273551940918,427.67803955078125,128.039794921875,48.544498443603516,144.75596618652344,223.28321838378906,344.2564697265625,285.2699890136719,250.9308319091797,153.1392364501953,389.6056213378906,102.5831527709961
2021-08-27,22.585487365722656,289.474365234375,145.33468627929688,143.017578125,370.346923828125,237.30667114257812,45.402549743652344,84.33163452148438,46.26527786254883,428.658447265625,127.94087982177734,48.640647888183594,145.9193878173828,225.38510131835938,347.0566101074219,286.6000061035156,249.42323303222656,152.812255859375,391.39080810546875,101.88449096679688
2021-08-30,22.637367248535156,293.2120361328125,149.75534057617188,143.60006713867188,378.3277282714844,243.6366729736328,45.67261505126953,84.42601776123047,46.63787078857422,433.9793395996094,128.4982452392578,49.103885650634766,143.5836181640625,223.97093200683594,344.4418640136719,285.6600036621094,251.88140869140625,153.45736694335938,390.9608459472656,102.72799682617188
2021-08-31,22.338987350463867,291.5604553222656,148.49368286132812,143.70631408691406,377.0555725097656,245.24000549316406,45.51881408691406,84.1240005493164,46.76417541503906,433.560546875,128.01280212402344,49.21751022338867,143.14512634277344,221.9077911376953,337.7880859375,285.7699890136719,248.02127075195312,152.989013671875,389.0634765625,102.90692138671875
2021-09-01,22.394874572753906,291.5122375488281,149.15875244140625,144.22079467773438,379.70916748046875,244.69667053222656,45.14804458618164,84.89793395996094,46.66313171386719,434.5409851074219,129.31637573242188,49.549644470214844,142.9392852783203,222.895751953125,341.04669189453125,285.260009765625,247.1666259765625,153.52804565429688,390.0729675292969,95.65624237060547
2021-09-02,22.349966049194336,290.8554992675781,150.27374267578125,142.3054962158203,372.98065185546875,244.1300048828125,45.032691955566406,84.75636291503906,46.909423828125,438.77667236328125,129.41526794433594,49.61956787109375,143.6015167236328,217.1422119140625,332.95880126953125,285.04998779296875,249.25035095214844,154.57960510253906,396.01727294921875,95.44322204589844
2021-09-03,22.796045303344727,290.8457336425781,150.909423828125,142.75489807128906,373.9547119140625,244.52333068847656,45.56184387207031,84.94512176513672,47.127296447753906,440.28057861328125,129.50518798828125,49.58461380004883,142.73341369628906,218.0430450439453,331.9344482421875,281.8900146484375,249.21202087402344,154.67678833007812,395.2228088378906,95.1024169921875
2021-09-07,22.61541748046875,289.91864013671875,153.24688720703125,143.29220581054688,379.83843994140625,250.97332763671875,45.462059020996094,83.73700714111328,46.50209045410156,437.4726867675781,129.0197296142578,48.658119201660156,142.4828338623047,219.16659545898438,336.30523681640625,278.8999938964844,244.6700439453125,152.27325439453125,393.70867919921875,92.89567565917969
